env    region      zone   visibility   subnet
qa     us-east-1   a      public       subnet-aaaa
qa     us-east-1   a      private      subnet-bbbb
qa     us-east-1   b      public       subnet-cccc
qa     us-east-1   b      private      subnet-dddd
qa     us-east-1   c      public       subnet-eeee
qa     us-east-1   c      private      subnet-ffff
qa     eu-west-1   a      public       subnet-gggg
qa     eu-west-1   a      private      subnet-hhhh
qa     eu-west-1   b      public       subnet-iiii
qa     eu-west-1   b      private      subnet-jjjj
qa     eu-west-1   c      public       subnet-kkkk
qa     eu-west-1   c      private      subnet-llll
qa     us-east-2   a      public       subnet-aabb
qa     us-east-2   a      private      subnet-bbaa
qa     us-east-2   b      public       subnet-ccdd
qa     us-east-2   b      private      subnet-ddcc
qa     us-east-2   c      public       subnet-eeff
qa     us-east-2   c      private      subnet-ffee
qa     eu-west-2   a      public       subnet-gghh
qa     eu-west-2   a      private      subnet-hhgg
qa     eu-west-2   b      public       subnet-iijj
qa     eu-west-2   b      private      subnet-jjii
qa     eu-west-2   c      public       subnet-kkll
qa     eu-west-2   c      private      subnet-llkk
prod   us-east-1   a      public       subnet-mmmm
prod   us-east-1   a      private      subnet-nnnn
prod   us-east-1   b      public       subnet-oooo
prod   us-east-1   b      private      subnet-pppp
prod   us-east-1   c      public       subnet-qqqq
prod   us-east-1   c      private      subnet-rrrr
prod   eu-west-1   a      public       subnet-ssss
prod   eu-west-1   a      private      subnet-tttt
prod   eu-west-1   b      public       subnet-uuuu
prod   eu-west-1   b      private      subnet-vvvv
prod   eu-west-1   c      public       subnet-wwww
prod   eu-west-1   c      private      subnet-xxxx
prod   us-east-2   a      public       subnet-mmnn
prod   us-east-2   a      private      subnet-nnmm
prod   us-east-2   b      public       subnet-oopp
prod   us-east-2   b      private      subnet-ppoo
prod   us-east-2   c      public       subnet-qqrr
prod   us-east-2   c      private      subnet-rrqq
prod   eu-west-2   a      public       subnet-sstt
prod   eu-west-2   a      private      subnet-ttss
prod   eu-west-2   b      public       subnet-uuvv
prod   eu-west-2   b      private      subnet-vvuu
prod   eu-west-2   c      public       subnet-wwxx
prod   eu-west-2   c      private      subnet-xxww
